num_topics,alpha,beta,u_mass
15,1,0.3,-0.19654037757084114
15,1,0.6,-0.17118972975915062
15,1,1,-0.14710048372449988
15,1,symmetric,-0.24721407492311884
15,symmetric,0.01,-0.22841038639813496
15,symmetric,0.3,-0.23557754794052896
15,symmetric,0.6,-0.1760769777508677
15,symmetric,1,-0.19154045887501295
15,symmetric,symmetric,-0.24017940171588828
15,asymmetric,0.01,-0.22290537589675602
15,asymmetric,0.3,-0.2335794993606861
15,asymmetric,0.6,-0.24056109051969873
15,asymmetric,1,-0.20393503927620624
15,asymmetric,symmetric,-0.24025622735731328
16,0.01,0.01,-0.22736734028918298
16,0.01,0.3,-0.21408414448887172
16,0.01,0.6,-0.21348350796999557
16,0.01,1,-0.18706682506308459
16,0.01,symmetric,-0.24369994454527982
16,0.3,0.01,-0.2411588756422396
16,0.3,0.3,-0.20852864481994127
16,0.3,0.6,-0.1770434301520996
16,0.3,1,-0.16980954138703835
16,0.3,symmetric,-0.20622771189643885
16,0.6,0.01,-0.21366493433509984
16,0.6,0.3,-0.19204270194716222
16,0.6,0.6,-0.20418762239397226
16,0.6,1,-0.1682289311937944
16,0.6,symmetric,-0.20552527399023235
16,1,0.01,-0.2252156690579006
16,1,0.3,-0.2269116716415532
16,1,0.6,-0.1640350719385587
16,1,1,-0.18107983090757823
16,1,symmetric,-0.19218818067741905
16,symmetric,0.01,-0.22442098826120518
16,symmetric,0.3,-0.2146727022104132
16,symmetric,0.6,-0.22025544476996012
16,symmetric,1,-0.1934862901877805
16,symmetric,symmetric,-0.22572520164490356
16,asymmetric,0.01,-0.22466284520381635
16,asymmetric,0.3,-0.2185653595961438
16,asymmetric,0.6,-0.21694476325625445
16,asymmetric,1,-0.21849642361112515
16,asymmetric,symmetric,-0.2567082905330129
17,0.01,0.01,-0.22779856268179288
17,0.01,0.3,-0.24663829375098512
17,0.01,0.6,-0.1993883245883229
17,0.01,1,-0.23973206386417398
17,0.01,symmetric,-0.22790791328275067
17,0.3,0.01,-0.25203446291930837
17,0.3,0.3,-0.2164924853611406
17,0.3,0.6,-0.1876190753788532
17,0.3,1,-0.14898955969820643
17,0.3,symmetric,-0.2223159199666428
17,0.6,0.01,-0.20756543414925488
17,0.6,0.3,-0.1810645569032637
17,0.6,0.6,-0.15900794787004058
17,0.6,1,-0.1644747610320456
17,0.6,symmetric,-0.20520770674056
17,1,0.01,-0.21366827305481972
17,1,0.3,-0.2001126237616454
17,1,0.6,-0.1781453942169609
17,1,1,-0.1569491066007086
17,1,symmetric,-0.21739933077882137
17,symmetric,0.01,-0.22842270681525673
17,symmetric,0.3,-0.20942321646282966
17,symmetric,0.6,-0.20980082859071578
17,symmetric,1,-0.19839364319302014
17,symmetric,symmetric,-0.2314403625932144
17,asymmetric,0.01,-0.22534417295470455
17,asymmetric,0.3,-0.2261746417032784
17,asymmetric,0.6,-0.2232536217927213
17,asymmetric,1,-0.18951290990117742
17,asymmetric,symmetric,-0.22945439585500577
18,0.01,0.01,-0.24024079900555798
18,0.01,0.3,-0.1888783541974239
18,0.01,0.6,-0.20865942769293166
18,0.01,1,-0.27356884155336786
18,0.01,symmetric,-0.23416589053104625
18,0.3,0.01,-0.21552471697434308
18,0.3,0.3,-0.1772644985375459
18,0.3,0.6,-0.23649651888016876
18,0.3,1,-0.1654652603001335
18,0.3,symmetric,-0.20190704763235534
18,0.6,0.01,-0.19497156920018918
18,0.6,0.3,-0.19161470780326104
18,0.6,0.6,-0.17445256347486138
18,0.6,1,-0.15815074305685606
18,0.6,symmetric,-0.2389192715238749
18,1,0.01,-0.21012033777063943
18,1,0.3,-0.1636237812998216
18,1,0.6,-0.24036847965650468
18,1,1,-0.16253703452210136
18,1,symmetric,-0.1926410472653718
18,symmetric,0.01,-0.23815754151579047
18,symmetric,0.3,-0.18731451707555907
18,symmetric,0.6,-0.20607711324285213
18,symmetric,1,-0.2584895774468806
18,symmetric,symmetric,-0.22913377893692216
18,asymmetric,0.01,-0.2501434497584245
18,asymmetric,0.3,-0.19620197996511798
18,asymmetric,0.6,-0.18452099229893076
18,asymmetric,1,-0.1938322349430162
18,asymmetric,symmetric,-0.23160269713890994
19,0.01,0.01,-0.2018495543247255
19,0.01,0.3,-0.2012448692602424
19,0.01,0.6,-0.20441546267463415
19,0.01,1,-0.21250557417507243
19,0.01,symmetric,-0.2030848299392346
19,0.3,0.01,-0.21090963107931557
19,0.3,0.3,-0.1991046539467219
