num_topics,alpha,beta,u_mass,c_v
15,asymmetric,1,-3.806073850264055,0.35595959962482876
15,asymmetric,symmetric,-2.300056399297615,0.29256092144150964
16,0.01,0.01,-2.38189761874487,0.2848463482320388
16,0.01,0.3,-2.391553783541774,0.2838725705069248
16,0.01,0.6,-2.5763901655080614,0.28297974068013787
16,0.01,1,-2.9392673732762846,0.310099213637178
16,0.01,symmetric,-2.4628789751293643,0.2797299180135149
16,0.3,0.01,-2.568068414139428,0.28033139907658
16,0.3,0.3,-2.7841002005816406,0.29219608755099535
16,0.3,0.6,-2.9073904028236046,0.30816903845670135
16,0.3,1,-3.611873054059306,0.3206892116507778
16,0.3,symmetric,-2.549771993768372,0.280082088228464
16,0.6,0.01,-2.7525498946309455,0.30534281590147977
16,0.6,0.3,-3.491212326318386,0.3178411494588224
16,0.6,0.6,-3.831088028083793,0.34724794858691316
16,0.6,1,-4.9666114851898575,0.3643164957303536
16,0.6,symmetric,-2.967698421793968,0.30429893657422197
16,1,0.01,-2.6395238075315044,0.29724985817326854
16,1,0.3,-3.7357732658279983,0.37122526443106174
16,1,0.6,-3.072911116528007,0.3087781495424461
16,1,1,-2.0151837582997416,0.30811673040941373
16,1,symmetric,-3.0846141196949044,0.31725721219202513
16,symmetric,0.01,-2.623011103624117,0.28470320358765433
16,symmetric,0.3,-2.224105388049032,0.2689279206905137
16,symmetric,0.6,-2.578082323333245,0.2724161628112854
16,symmetric,1,-3.003769372236645,0.3099935254752176
16,symmetric,symmetric,-2.429547692005801,0.29621591450827467
16,asymmetric,0.01,-2.4612401762704033,0.303586356578902
16,asymmetric,0.3,-2.735025943015441,0.2863198455557453
16,asymmetric,0.6,-2.774520938000941,0.2871513937759711
16,asymmetric,1,-3.294609213377826,0.3166220621373494
16,asymmetric,symmetric,-2.527789175120751,0.29117564995812384
17,0.01,0.01,-2.5053352084850946,0.2722537530441948
17,0.01,0.3,-2.394252430005665,0.2645088559872403
17,0.01,0.6,-2.3285210377996237,0.27548754897112065
17,0.01,1,-2.772929730803335,0.30409704003559473
17,0.01,symmetric,-2.5310833881683927,0.263874867159523
17,0.3,0.01,-2.6534206866352505,0.28809254314948113
17,0.3,0.3,-3.000462293911334,0.29742281303176227
17,0.3,0.6,-3.247870432154176,0.3194092507865108
17,0.3,1,-3.1833754914211743,0.3124066071090926
17,0.3,symmetric,-2.851461840642628,0.2864806799024995
17,0.6,0.01,-3.249620870369514,0.3120034001198353
17,0.6,0.3,-4.391042156542088,0.3361272808242106
17,0.6,0.6,-5.277302924214569,0.37483198226212844
17,0.6,1,-5.756892027782991,0.4001459224629008
17,0.6,symmetric,-3.6501135605349004,0.31605427460943136
17,1,0.01,-2.9688795813233217,0.30402978498286415
17,1,0.3,-4.079842453846169,0.37377088704649675
17,1,0.6,-3.0432833419038183,0.3105072383169394
17,1,1,-2.090739255873161,0.29857307153480556
17,1,symmetric,-3.525924589720447,0.32556126026832455
17,symmetric,0.01,-2.553656774265451,0.27338468935935606
17,symmetric,0.3,-2.3500942478464095,0.26767460942188254
17,symmetric,0.6,-2.392213620453287,0.2712642922404291
17,symmetric,1,-2.9973328074922954,0.3028582441547239
17,symmetric,symmetric,-2.5591837691835795,0.2734055449740698
17,asymmetric,0.01,-2.4648018335586643,0.2670605170223914
17,asymmetric,0.3,-2.7804110069242607,0.2793621845807625
17,asymmetric,0.6,-2.7586447912660983,0.28151966923355526
17,asymmetric,1,-3.449167132850772,0.3262202761145683
17,asymmetric,symmetric,-2.7247297081001527,0.27738534179349944
18,0.01,0.01,-2.8307171287560116,0.28700362636775917
18,0.01,0.3,-3.104243655725451,0.27398148991728755
18,0.01,0.6,-2.6632089942472237,0.2656272139069585
18,0.01,1,-2.5505453696894973,0.27476576369338007
18,0.01,symmetric,-2.9380594455030504,0.2903926214382228
18,0.3,0.01,-2.7562587891057286,0.2985551324229587
18,0.3,0.3,-3.096207329499187,0.29185540098059065
