num_topics,alpha,beta,u_mass,c_v
12,symmetric,0.3,-2.1543830588476056,0.2783000542348327
12,symmetric,1,-2.1540153706062006,0.2783000542348327
12,symmetric,symmetric,-1.9290155471615549,0.3153202245430184
12,asymmetric,0.01,-2.3143934478673875,0.317694238648287
12,asymmetric,0.3,-2.6363624853789855,0.3001504888238222
12,asymmetric,1,-2.6163265987830435,0.2910614164011285
12,asymmetric,symmetric,-2.5002320491961365,0.27948757786432915
13,0.01,0.01,-2.1485782568281175,0.2929618708177908
13,0.01,0.3,-2.3854474306753284,0.3046142225943255
13,0.01,1,-2.3735053789366143,0.3036326297948108
13,0.01,symmetric,-2.3864480089915765,0.3036326297948108
13,0.3,0.01,-2.2474386755313835,0.28643012593003453
13,0.3,0.3,-2.6449824903073926,0.33056558490567617
13,0.3,1,-6.232874991441638,0.40800410902595236
13,0.3,symmetric,-2.2793558185600555,0.286822875716264
13,1,0.01,-2.2548116957833004,0.30017677900942874
13,1,0.3,-2.272465517117323,0.316409377218902
13,1,1,-7.906449408496457,0.46326324958808296
13,1,symmetric,-2.325277395779167,0.2976418736196545
13,symmetric,0.01,-2.544080427769653,0.3043134681116269
13,symmetric,0.3,-2.2971410602263087,0.29543443718671586
13,symmetric,1,-2.2860841438301427,0.29543443718671586
13,symmetric,symmetric,-2.271451293251344,0.3132752661439169
13,asymmetric,0.01,-2.920448306678117,0.3135966562625851
13,asymmetric,0.3,-3.472266528576193,0.30983497918530034
13,asymmetric,1,-3.3675655419125103,0.3031058406890065
13,asymmetric,symmetric,-3.038916836287947,0.30555664929768095
14,0.01,0.01,-2.5265946258529537,0.31484686592166244
14,0.01,0.3,-2.525599911148911,0.31506831275160657
14,0.01,1,-2.51646582699231,0.31506831275160657
14,0.01,symmetric,-2.5264586464700862,0.31506831275160657
14,0.3,0.01,-2.5949616611476394,0.32028835681815565
14,0.3,0.3,-3.1336082757506865,0.30455720549841336
14,0.3,1,-6.799044785281281,0.4190022121562853
14,0.3,symmetric,-2.4786710861968104,0.31421402898201656
14,1,0.01,-2.6934122742804396,0.30717160461109305
14,1,0.3,-4.680392505550166,0.35515700508240927
14,1,1,-7.677215698538897,0.4511627945022555
14,1,symmetric,-2.671521554990501,0.2938998301640073
14,symmetric,0.01,-2.4453444250166254,0.2966630049715303
14,symmetric,0.3,-2.579614458283889,0.3233119428494321
14,symmetric,1,-2.5698920127012204,0.3233119428494321
14,symmetric,symmetric,-2.972545816795474,0.32207101144354366
14,asymmetric,0.01,-2.753133414170112,0.29442999092007766
14,asymmetric,0.3,-3.417978279170033,0.2980575057441976
14,asymmetric,1,-3.38485809600634,0.29562947473357165
14,asymmetric,symmetric,-2.7790995905226725,0.29109836657144816
15,0.01,0.01,-2.733716304672489,0.3172518423990674
15,0.01,0.3,-2.5590875492758207,0.32378306015661534
15,0.01,1,-2.5504388445768824,0.32378306015661534
15,0.01,symmetric,-2.5601875358327657,0.32378306015661534
15,0.3,0.01,-2.4623787052312665,0.3169258508506792
15,0.3,0.3,-3.400297822284598,0.3215261553481366
15,0.3,1,-6.447520566383132,0.41619321625183936
15,0.3,symmetric,-2.3781041488774552,0.31029093334770563
15,1,0.01,-2.684059130055514,0.30468716373527077
15,1,0.3,-4.623994569165921,0.3390510772834034
15,1,1,-8.615176700342063,0.4596678678724243
15,1,symmetric,-2.745525531348671,0.29342680866861615
15,symmetric,0.01,-2.893267518092566,0.29397178277254976
15,symmetric,0.3,-2.5167709226354606,0.32130500567367437
15,symmetric,1,-2.5076815171760036,0.32130500567367437
15,symmetric,symmetric,-3.2796423110973776,0.33863034566492684
15,asymmetric,0.01,-2.798959517310352,0.309059626533068
15,asymmetric,0.3,-3.418681974234127,0.30721290547561936
15,asymmetric,1,-3.34700909809126,0.3090023491207195
15,asymmetric,symmetric,-2.828299260666767,0.2996564108059993
16,0.01,0.01,-2.9907011752895567,0.32916250261318686
16,0.01,0.3,-2.769450967119206,0.3254711065054302
16,0.01,1,-2.6324586522612154,0.3233776955811938
16,0.01,symmetric,-2.7699710119883845,0.3254711065054302
16,0.3,0.01,-2.523448832698504,0.3090206431465243
16,0.3,0.3,-3.2584570862444666,0.3302108110333887
16,0.3,1,-7.942858793740536,0.4547742989265744
16,0.3,symmetric,-2.595211385119191,0.326918207173558
16,1,0.01,-2.622210424085403,0.3027773148947843
16,1,0.3,-4.598525272656044,0.3339908843191866
16,1,1,-9.148112788638155,0.48452513510110845
16,1,symmetric,-2.7286147629116173,0.29429071940249696
16,symmetric,0.01,-2.782625134920427,0.3120692124822035
16,symmetric,0.3,-2.716453925847466,0.3249701455835895
16,symmetric,1,-2.760169989635606,0.32549554551662696
16,symmetric,symmetric,-3.2360045106647286,0.33362458143886176
16,asymmetric,0.01,-3.392876267674883,0.31897450746227773
16,asymmetric,0.3,-3.7787268418592044,0.30912825804254235
16,asymmetric,1,-3.550933690187076,0.2983471108393796
16,asymmetric,symmetric,-3.4926502987799886,0.3154742385498428
17,0.01,0.01,-3.1492906561502974,0.3272290549228973
17,0.01,0.3,-2.7150447332887406,0.32140870466493193
17,0.01,1,-2.7151578394827602,0.32140870466493193
17,0.01,symmetric,-2.628544333737937,0.32075936909044495
17,0.3,0.01,-2.6066878414670542,0.31659198888415085
17,0.3,0.3,-3.2961744936330772,0.32312854437292376
17,0.3,1,-6.4453222031293,0.4329298525169758
17,0.3,symmetric,-2.609274943643809,0.33105561728255695
17,1,0.01,-3.019214238908352,0.3070667155749949
17,1,0.3,-5.439721041384872,0.3614262005169482
17,1,1,-9.124578169206181,0.48826051617193433
17,1,symmetric,-3.4332604157548965,0.3083132044642114
17,symmetric,0.01,-2.973356062082191,0.3145859765740886
17,symmetric,0.3,-2.802998591902138,0.32570071582646054
17,symmetric,1,-2.8205176267908643,0.32503379634844276
17,symmetric,symmetric,-3.294141154824875,0.3454291459656711
17,asymmetric,0.01,-2.4386874446767433,0.28866226873255457
17,asymmetric,0.3,-2.495807307153657,0.26840151346460306
17,asymmetric,1,-2.405531173066616,0.26640948826762456
17,asymmetric,symmetric,-2.431654586743103,0.282189016200877
18,0.01,0.01,-2.9776184735106326,0.3048177195257759
18,0.01,0.3,-2.836075023585759,0.30544523838442905
18,0.01,1,-2.834353081358025,0.30648018452743087
18,0.01,symmetric,-2.849179438871936,0.3048875724479327
18,0.3,0.01,-2.4775787995831653,0.3213482685663668
18,0.3,0.3,-2.9913510563662093,0.33708826011814297
18,0.3,1,-6.884291348687838,0.44506945167715917
18,0.3,symmetric,-2.8167761501478834,0.33357958292813217
18,1,0.01,-2.795978895320739,0.2995318399202334
18,1,0.3,-5.593788411051454,0.37925134721953285
18,1,1,-9.40477502595209,0.49394309424885424
18,1,symmetric,-3.4101352289425666,0.32251125852244567
18,symmetric,0.01,-3.0102062039872384,0.3014131634620664
18,symmetric,0.3,-2.905555235624384,0.3142884092848686
18,symmetric,1,-2.9149731204311866,0.3136589789761357
18,symmetric,symmetric,-3.1351390270784103,0.31863080350759304
18,asymmetric,0.01,-3.354769713012906,0.3101682450487437
18,asymmetric,0.3,-3.885472774147674,0.31014575165857045
18,asymmetric,1,-3.844251638385589,0.3104934637305867
18,asymmetric,symmetric,-3.5386410634175696,0.3219162099537579
19,0.01,0.01,-2.93373363744667,0.3182549846645157
19,0.01,0.3,-2.8980013625555787,0.31938668456001434
19,0.01,1,-2.889172038917547,0.31938668456001434
19,0.01,symmetric,-2.900459813314767,0.32038800100693765
19,0.3,0.01,-2.4615727614877407,0.33685692548973273
19,0.3,0.3,-3.033767499378956,0.3333801880929855
19,0.3,1,-7.290524313980777,0.4545158314406152
19,0.3,symmetric,-2.674897809632709,0.3264587797014588
19,1,0.01,-2.6336060509142927,0.3032987966009556
19,1,0.3,-6.170429093693586,0.39414840606543006
19,1,1,-9.767353724621088,0.5016685073594979
19,1,symmetric,-3.1895097079768107,0.3098483955884777
19,symmetric,0.01,-2.794554875651979,0.31131136308285146
19,symmetric,0.3,-2.87234798427071,0.3201060023426189
19,symmetric,1,-2.8606145329080883,0.32188669538403675
19,symmetric,symmetric,-3.024715453940538,0.32543651072026814
19,asymmetric,0.01,-3.063769022618147,0.3172972577404893
19,asymmetric,0.3,-3.4030127953827556,0.30221338305734513
19,asymmetric,1,-3.308264992497853,0.30355565041344135
19,asymmetric,symmetric,-3.0684394346307076,0.31455331410566434
20,0.01,0.01,-2.7246411698891695,0.30703800696315203
20,0.01,0.3,-2.733847747395326,0.3218076029778229
