num_topics,alpha,beta,u_mass,c_v
19,asymmetric,0.3,-4.0539556249103414,0.33441378403717914
19,asymmetric,1,-4.0184372279209875,0.3334729867547719
19,asymmetric,symmetric,-3.8044995631254257,0.3217943902869894
20,0.01,0.01,-4.789190652660994,0.32989101627258166
20,0.01,0.3,-4.180099554833811,0.2938604918399974
20,0.01,1,-3.5736755848662107,0.27452850475127116
20,0.01,symmetric,-4.338469883919394,0.3097212828798844
20,0.3,0.01,-3.902650381638538,0.34633997617832263
20,0.3,0.3,-4.813082306007603,0.3868098828915145
20,0.3,1,-5.700154193248742,0.36857519768446695
20,0.3,symmetric,-4.180713223795659,0.3469928392577299
20,1,0.01,-3.6780304625348643,0.3284602723201785
20,1,0.3,-5.405444100452456,0.3936720188593713
20,1,1,-7.893783293139075,0.43162115740023965
20,1,symmetric,-3.6771819671252457,0.3358330105417307
20,symmetric,0.01,-4.167787428156458,0.3226262905499802
20,symmetric,0.3,-4.16544691226206,0.2924701651259281
20,symmetric,1,-3.707523477839382,0.28183975082518414
20,symmetric,symmetric,-4.402490940425067,0.3251968747042364
20,asymmetric,0.01,-3.9049659329686506,0.3346395008673263
20,asymmetric,0.3,-3.754676089906475,0.3433563179307506
20,asymmetric,1,-3.7631055154411515,0.34214568153982394
20,asymmetric,symmetric,-3.967554500278548,0.34007596579974464
