num_topics,alpha,beta,u_mass
18,symmetric,symmetric,-1.9669176798880739
18,asymmetric,0.01,-1.7851113744317193
18,asymmetric,0.3,-2.297759570517385
18,asymmetric,0.6,-2.285951445430435
18,asymmetric,1,-2.3250429978700087
18,asymmetric,symmetric,-2.1677242214719437
19,0.01,0.01,-2.595159093696944
19,0.01,0.3,-1.8501623907833111
19,0.01,0.6,-1.9342634673459216
19,0.01,1,-1.531410590304403
19,0.01,symmetric,-2.5967326738489285
19,0.3,0.01,-0.9173609113071047
19,0.3,0.3,-1.422758049094262
19,0.3,0.6,-0.8017656749900074
19,0.3,1,-0.8337371293766827
19,0.3,symmetric,-0.8535266108483267
19,0.6,0.01,-0.6585759393743108
19,0.6,0.3,-1.1537045700039215
19,0.6,0.6,-6.814028603923453
19,0.6,1,-5.611800310035629
19,0.6,symmetric,-1.0470716515557712
19,1,0.01,-0.8911665549913966
19,1,0.3,-7.317806380965633
19,1,0.6,-7.411334631864996
19,1,1,-7.912625038432865
19,1,symmetric,-1.2821903910627388
19,symmetric,0.01,-2.234428245980287
19,symmetric,0.3,-1.8393756938342913
19,symmetric,0.6,-1.9153627163109885
19,symmetric,1,-0.7779032638704138
19,symmetric,symmetric,-2.2405490706689046
19,asymmetric,0.01,-2.034144953153419
19,asymmetric,0.3,-2.281128500757486
19,asymmetric,0.6,-1.8348066420095954
19,asymmetric,1,-1.3927549134915405
19,asymmetric,symmetric,-2.5311813992923877
20,0.01,0.01,-2.532652240332442
20,0.01,0.3,-1.720790124042723
20,0.01,0.6,-1.6837441661589008
20,0.01,1,-1.4456970749242708
20,0.01,symmetric,-2.400221351503231
20,0.3,0.01,-0.8209730531469621
20,0.3,0.3,-0.8334537075640169
20,0.3,0.6,-0.8857126851984297
20,0.3,1,-1.44610960493147
20,0.3,symmetric,-0.8320273311758883
20,0.6,0.01,-0.6845106668116792
20,0.6,0.3,-3.2002722765815803
20,0.6,0.6,-6.383324936507394
20,0.6,1,-6.710504105101256
20,0.6,symmetric,-0.9467826110665
20,1,0.01,-0.8804148418769666
20,1,0.3,-6.984178053008897
20,1,0.6,-8.227539461326415
20,1,1,-5.21451007761221
